Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
2,1652799296736,17/05/2022 14:54:56,1652799296685,1,17/05/2022 15:54:56,86605,11,task-s61q,,21938005,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,19718,,,,,0,1,0,,,,,,Instructions,
3,1652799334045,17/05/2022 14:55:34,1652799334004,1,17/05/2022 15:55:34,86605,11,task-s61q,,21938005,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,37311,,,,,0,1,0,,,,,,Instructions,
4,1652799385241,17/05/2022 14:56:25,1652799385177,1,17/05/2022 15:56:25,86605,11,task-s61q,,21938005,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,51162.000000000015,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652799391736,17/05/2022 14:56:31,1652799391678,1,17/05/2022 15:56:31,86605,11,task-s61q,,21938005,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,6494,,,,,0,1,0,,,,,,Instructions,
6,1652799391786,17/05/2022 14:56:31,1652799391681,1,17/05/2022 15:56:31,86605,11,task-s61q,,21938005,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,END TASK,,,,,114756,,,,,0,1,0,,,,,,,
1,1652804447942,17/05/2022 16:20:47,1652804447825,1,17/05/2022 17:20:47,86605,11,task-s61q,,21945360,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1652804454149,17/05/2022 16:20:54,1652804454060,1,17/05/2022 17:20:54,86605,11,task-s61q,,21945360,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,6199,,,,,0,1,0,,,,,,Instructions,
3,1652804463810,17/05/2022 16:21:03,1652804463733,1,17/05/2022 17:21:03,86605,11,task-s61q,,21945360,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,9667.000000000002,,,,,0,1,0,,,,,,Instructions,
4,1652804493517,17/05/2022 16:21:33,1652804493453,1,17/05/2022 17:21:33,86605,11,task-s61q,,21945360,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,29712,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652804498485,17/05/2022 16:21:38,1652804498427,1,17/05/2022 17:21:38,86605,11,task-s61q,,21945360,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,4969,,,,,0,1,0,,,,,,Instructions,
