"","id","Type_of_question","type","n","sum_n","perc"
"122","mx4as100","competence","choice",3,4,75
"123","mx4as100","competence","motor",1,4,25
"124","mx4as100","warmth","choice",3,4,75
"125","mx4as100","warmth","control",1,4,25
"126","nqcfkk0t","competence","motor",4,4,100
"127","nqcfkk0t","warmth","choice",3,4,75
"128","nqcfkk0t","warmth","control",1,4,25
"129","p1el4un1","competence","control",2,4,50
"130","p1el4un1","competence","motor",2,4,50
"131","p1el4un1","warmth","motor",4,4,100
"132","rcburgqm","competence","choice",1,4,25
"133","rcburgqm","competence","control",2,4,50
"134","rcburgqm","competence","motor",1,4,25
"135","rcburgqm","warmth","choice",1,4,25
"136","rcburgqm","warmth","control",1,4,25
"137","rcburgqm","warmth","motor",2,4,50
"138","rjld64yp","competence","control",2,4,50
"139","rjld64yp","competence","motor",2,4,50
"140","rjld64yp","warmth","choice",3,4,75
"141","rjld64yp","warmth","motor",1,4,25
"142","ske1wdwv","competence","choice",4,4,100
"143","ske1wdwv","warmth","choice",3,4,75
"144","ske1wdwv","warmth","motor",1,4,25
"145","tfbf68k4","competence","choice",2,4,50
"146","tfbf68k4","competence","control",1,4,25
"147","tfbf68k4","competence","motor",1,4,25
"148","tfbf68k4","warmth","choice",1,4,25
"149","tfbf68k4","warmth","control",2,4,50
"150","tfbf68k4","warmth","motor",1,4,25
"151","trpxfsfj","competence","control",3,4,75
"152","trpxfsfj","competence","motor",1,4,25
"153","trpxfsfj","warmth","choice",1,4,25
"154","trpxfsfj","warmth","control",1,4,25
"155","trpxfsfj","warmth","motor",2,4,50
"156","u4ckj0xb","competence","control",2,4,50
"157","u4ckj0xb","competence","motor",2,4,50
"158","u4ckj0xb","warmth","choice",3,4,75
"159","u4ckj0xb","warmth","motor",1,4,25
"160","ucjf5it7","competence","motor",8,8,100
"161","ucjf5it7","warmth","choice",2,8,25
"162","ucjf5it7","warmth","motor",6,8,75
"163","vtnpc9v0","competence","choice",1,4,25
"164","vtnpc9v0","competence","control",1,4,25
"165","vtnpc9v0","competence","motor",2,4,50
"166","vtnpc9v0","warmth","control",3,4,75
"167","vtnpc9v0","warmth","motor",1,4,25
"168","wkig7g26","competence","choice",3,4,75
"169","wkig7g26","competence","control",1,4,25
"170","wkig7g26","warmth","choice",3,4,75
"171","wkig7g26","warmth","control",1,4,25
"172","x886pg16","competence","choice",3,4,75
"173","x886pg16","competence","control",1,4,25
"174","x886pg16","warmth","control",4,4,100
"175","x9hun3az","competence","choice",3,4,75
"176","x9hun3az","competence","control",1,4,25
"177","x9hun3az","warmth","choice",2,4,50
"178","x9hun3az","warmth","control",2,4,50
"179","yuxt0mr0","competence","choice",1,4,25
"180","yuxt0mr0","competence","motor",3,4,75
"181","yuxt0mr0","warmth","choice",2,4,50
"182","yuxt0mr0","warmth","control",2,4,50
