Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
3,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_friendly-1-quantised,5
4,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_similarity-1,2
5,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_similarity-1-quantised,2
6,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_attractiveness-1,3
7,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_attractiveness-1-quantised,3
8,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_art_knowledge-1,3
9,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_art_knowledge-1-quantised,3
10,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_competent-1,3
11,1652787144263,17/05/2022 11:32:24,1652787144141,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_competent-1-quantised,3
12,1652787144263,17/05/2022 11:32:24,1652787144142,1,17/05/2022 12:32:24,86605,11,questionnaire-9i2z,,21932851,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Rating - warmth and competence 1,3,No,rating_rational-1,4
