"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","Correct","Incorrect","Dishonest","X_Coordinate","Y_Coordinate","Timed_Out","randomise_blocks","randomise_trials","display","ANSWER","picture1","picture2","picture3","picture4","picture5","picture6","picture7","Hint","wideo1","wideo2","Picture","Hint_picture1","Hint_picture2","Doors_picture","answear","id"
"3319","31","1655127595265","13/06/2022 13:39:55","1655127595193","1","13/06/2022 14:39:55","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","8","6","4","ChooseDoor","LeftButton","response_button_text","2074",NA,NA,"Left","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose left this time.""","6_left_low.mp4","6_right_low.mp4","6 M:L.png","6L.png","6M.png","6 M:L.png","Right","tfbf68k4"
"3320","32","1655127612020","13/06/2022 13:40:12","1655127611934","1","13/06/2022 14:40:11","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","8","6","5","Left","Continue","response_button_text","16734",NA,NA,"Continue","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose left this time.""","6_left_low.mp4","6_right_low.mp4","6 M:L.png","6L.png","6M.png","6 M:L.png","Right","tfbf68k4"
"3321","33","1655127612432","13/06/2022 13:40:12","1655127612367","1","13/06/2022 14:40:12","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","8","6","7","test","fixation","fixation","451",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose left this time.""","6_left_low.mp4","6_right_low.mp4","6 M:L.png","6L.png","6M.png","6 M:L.png","Right","tfbf68k4"
"3322","34","1655127617060","13/06/2022 13:40:17","1655127616993","1","13/06/2022 14:40:16","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","9","7","1","Help","BethButton","response_button_text","4602.00000000003",NA,NA,"Anna","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right.""","7_left_low.mp4","7_right_low.mp4","7 M:L.png","7L.png","7M.png","7 M:L.png","Right","tfbf68k4"
"3323","35","1655127619049","13/06/2022 13:40:19","1655127618978","1","13/06/2022 14:40:18","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","9","7","3","Anna","Zone2","response_button_text","1976",NA,NA,"Continue","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right.""","7_left_low.mp4","7_right_low.mp4","7 M:L.png","7L.png","7M.png","7 M:L.png","Right","tfbf68k4"
"3324","36","1655127621085","13/06/2022 13:40:21","1655127621019","1","13/06/2022 14:40:21","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","9","7","4","ChooseDoor","RightButton","response_button_text","2035",NA,NA,"Right","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right.""","7_left_low.mp4","7_right_low.mp4","7 M:L.png","7L.png","7M.png","7 M:L.png","Right","tfbf68k4"
"3325","37","1655127635575","13/06/2022 13:40:35","1655127635488","1","13/06/2022 14:40:35","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","9","7","6","Right","Zone2","response_button_text","14462",NA,NA,"Continue","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right.""","7_left_low.mp4","7_right_low.mp4","7 M:L.png","7L.png","7M.png","7 M:L.png","Right","tfbf68k4"
"3326","38","1655127635991","13/06/2022 13:40:35","1655127635924","1","13/06/2022 14:40:35","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","9","7","7","test","fixation","fixation","451",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right.""","7_left_low.mp4","7_right_low.mp4","7 M:L.png","7L.png","7M.png","7 M:L.png","Right","tfbf68k4"
"3327","39","1655127638162","13/06/2022 13:40:38","1655127638093","1","13/06/2022 14:40:38","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","10","8","1","Help","AnnaButton","response_button_text","2145.99999999997",NA,NA,"Beth","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s right this time, I think.""","8_left_low.mp4","8_right_low.mp4","8 M:L.png","8L.png","8M.png","8 M:L.png","Right","tfbf68k4"
"3328","40","1655127640234","13/06/2022 13:40:40","1655127640166","1","13/06/2022 14:40:40","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","10","8","2","Claire","AdvanceAnna","response_button_text","2065.00000000003",NA,NA,"Continue","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s right this time, I think.""","8_left_low.mp4","8_right_low.mp4","8 M:L.png","8L.png","8M.png","8 M:L.png","Right","tfbf68k4"
"3329","41","1655127641804","13/06/2022 13:40:41","1655127641733","1","13/06/2022 14:40:41","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","10","8","4","ChooseDoor","RightButton","response_button_text","1560",NA,NA,"Right","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s right this time, I think.""","8_left_low.mp4","8_right_low.mp4","8 M:L.png","8L.png","8M.png","8 M:L.png","Right","tfbf68k4"
"3330","42","1655127655776","13/06/2022 13:40:55","1655127655703","1","13/06/2022 14:40:55","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","10","8","6","Right","Zone2","response_button_text","13963",NA,NA,"Continue","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s right this time, I think.""","8_left_low.mp4","8_right_low.mp4","8 M:L.png","8L.png","8M.png","8 M:L.png","Right","tfbf68k4"
"3331","43","1655127656222","13/06/2022 13:40:56","1655127656145","1","13/06/2022 14:40:56","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","10","8","7","test","fixation","fixation","453",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s right this time, I think.""","8_left_low.mp4","8_right_low.mp4","8 M:L.png","8L.png","8M.png","8 M:L.png","Right","tfbf68k4"
"3332","44","1655127659314","13/06/2022 13:40:59","1655127659248","1","13/06/2022 14:40:59","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","11","9","1","Help","BethButton","response_button_text","3080",NA,NA,"Anna","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","9_left_low.mp4","9_right_low.mp4","9 M:L.png","9L.png","9M.png","9 M:L.png","Right","tfbf68k4"
"3333","45","1655127660879","13/06/2022 13:41:00","1655127660811","1","13/06/2022 14:41:00","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","11","9","3","Anna","Zone2","response_button_text","1555.99999999997",NA,NA,"Continue","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","9_left_low.mp4","9_right_low.mp4","9 M:L.png","9L.png","9M.png","9 M:L.png","Right","tfbf68k4"
"3334","46","1655127662571","13/06/2022 13:41:02","1655127662486","1","13/06/2022 14:41:02","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","11","9","4","ChooseDoor","LeftButton","response_button_text","1669",NA,NA,"Left","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","9_left_low.mp4","9_right_low.mp4","9 M:L.png","9L.png","9M.png","9 M:L.png","Right","tfbf68k4"
"3335","47","1655127683139","13/06/2022 13:41:23","1655127683062","1","13/06/2022 14:41:23","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","11","9","5","Left","Continue","response_button_text","20570.0000000001",NA,NA,"Continue","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","9_left_low.mp4","9_right_low.mp4","9 M:L.png","9L.png","9M.png","9 M:L.png","Right","tfbf68k4"
